# Time Magnitude Flag
3.249104 3.114102 0
5.414080 3.088224 0
8.607675 3.567538 0
8.608712 3.029387 0
8.608851 3.169979 0
9.608212 3.193210 0
10.509586 3.344812 0
14.253095 3.205054 0
14.472038 5.035666 0
16.066906 3.006134 0
16.449419 3.236653 0
21.358965 3.046860 0
21.976559 3.028326 0
24.944198 3.244704 0
26.434734 3.546979 0
29.103583 3.188726 0
32.543160 3.370098 0
33.090076 3.453783 0
33.104253 2.955267 0
34.951603 3.433027 0
35.722263 4.109291 0
36.684955 3.132692 0
37.561487 3.487432 0
37.624330 3.435162 0
44.176057 3.665727 0
51.668508 2.975623 0
52.971160 2.952485 0
59.436263 3.341748 0
60.555199 3.105875 0
61.810013 3.089071 0
67.465785 3.024533 0
68.606580 3.760455 0
70.146622 3.090278 0
71.277829 3.843564 0
73.414892 3.342541 0
87.298819 3.492517 0
87.778888 3.386726 0
91.383030 3.512322 0
93.103887 3.088796 0
94.860994 3.428432 0
96.669317 3.292372 0
97.227413 3.264303 0
97.283102 2.953944 0
98.134602 4.985182 0
103.040654 3.338162 0
105.072176 3.437641 0
105.322670 3.167491 0
108.290750 3.238055 0
111.915552 3.828545 0
112.168154 3.301730 0
123.277894 2.972244 0
126.731328 3.159187 0
129.031091 3.235176 0
140.642809 2.950886 0
142.260140 2.994643 0
146.833671 2.997050 0
147.219566 3.611494 0
151.237888 3.363943 0
152.878554 3.563247 0
159.980205 3.429080 0
162.122884 3.149065 0
163.454870 3.027254 0
163.454914 3.948853 0
166.725381 3.067795 0
166.769442 3.575401 0
167.552233 3.097922 0
174.398169 3.733568 0
176.083602 3.148452 0
179.420852 2.966803 0
179.740212 3.487154 0
183.507902 3.019000 0
191.635081 3.282096 0
192.576424 3.334102 0
193.185432 4.300291 0
193.507503 3.188689 0
194.403497 3.100539 0
197.491353 3.170302 0
201.699190 3.018341 0
203.918940 2.960569 0
204.970924 3.507953 0
205.319773 3.090615 0
209.217679 3.421181 0
210.309060 3.033713 0
211.306572 3.092125 0
215.869772 4.896263 0
217.695461 3.278536 0
218.775806 3.941571 0
221.989647 3.096331 0
221.990350 3.248245 0
224.782366 2.954779 0
229.901579 4.496151 0
230.981073 4.425460 0
231.927381 3.041145 0
233.061788 3.087586 0
239.273890 3.188837 0
239.414207 3.032879 0
240.079440 2.958140 0
240.140817 3.248770 0
242.926775 3.671902 0
247.783571 3.028647 0
248.307714 3.163650 0
256.092569 3.049945 0
256.649654 3.034673 0
264.022546 3.439324 0
267.760012 3.357170 0
273.163635 2.984151 0
274.085002 3.924322 0
279.324894 3.150361 0
281.609679 3.159912 0
283.896995 3.155821 0
289.399449 3.048508 0
298.373274 3.763769 0
298.449051 3.290924 0
303.919457 3.346347 0
307.352809 3.150927 0
309.613447 2.975793 0
310.999339 3.091961 0
317.867453 3.225200 0
328.505822 3.788081 0
329.010247 3.040479 0
332.144403 3.146382 0
